'EPIC Ba.PID.MV Log File

'Date,Ba.PID.MV
08/06/2023 00:00:01.276,100.0
08/06/2023 00:00:02.284,100.0
08/06/2023 00:00:03.292,100.0
08/06/2023 00:00:04.311,99.9
08/06/2023 00:00:05.321,100.0
08/06/2023 00:00:06.329,99.9
08/06/2023 00:00:07.340,100.0
08/06/2023 00:00:08.351,100.0
08/06/2023 00:00:09.370,99.9
08/06/2023 00:00:10.390,99.9
08/06/2023 00:00:11.410,99.9
08/06/2023 00:00:12.438,99.9
08/06/2023 00:00:13.455,99.9
08/06/2023 00:00:14.473,99.9
08/06/2023 00:00:15.494,99.9
08/06/2023 00:00:16.503,99.9
08/06/2023 00:00:17.515,99.9
08/06/2023 00:00:18.552,99.9
08/06/2023 00:00:19.568,99.9
08/06/2023 00:00:20.587,99.9
08/06/2023 00:00:21.606,99.9
08/06/2023 00:00:22.615,99.9
08/06/2023 00:00:23.637,99.9
08/06/2023 00:00:24.667,99.9
08/06/2023 00:00:25.682,99.9
08/06/2023 00:00:26.691,99.9
08/06/2023 00:00:27.699,99.9
08/06/2023 00:00:28.708,99.9
08/06/2023 00:00:29.716,99.9
08/06/2023 00:00:30.727,99.9
08/06/2023 00:00:31.740,99.9
08/06/2023 00:00:32.749,99.9
08/06/2023 00:00:33.759,99.9
08/06/2023 00:00:34.781,99.9
08/06/2023 00:00:35.788,99.9
08/06/2023 00:00:36.808,99.9
08/06/2023 00:00:37.828,99.9
08/06/2023 00:00:38.834,99.9
08/06/2023 00:00:39.842,99.9
08/06/2023 00:00:40.855,99.9
08/06/2023 00:00:41.872,99.9
08/06/2023 00:00:42.892,99.9
08/06/2023 00:00:43.904,99.9
08/06/2023 00:00:44.910,99.9
08/06/2023 00:00:45.931,99.9
08/06/2023 00:00:46.949,99.9
08/06/2023 00:00:47.968,99.9
08/06/2023 00:00:48.982,99.9
08/06/2023 00:00:49.995,99.9
08/06/2023 00:00:51.028,99.9
08/06/2023 00:00:52.044,99.9
08/06/2023 00:00:53.059,99.9
08/06/2023 00:00:54.072,99.9
08/06/2023 00:00:55.084,99.9
08/06/2023 00:00:56.098,99.9
08/06/2023 00:00:57.105,99.9
08/06/2023 00:00:58.113,99.9
08/06/2023 00:00:59.121,99.9
08/06/2023 00:01:00.143,99.9
08/06/2023 00:01:01.157,99.9
08/06/2023 00:01:02.184,99.9
08/06/2023 00:01:03.197,99.9
08/06/2023 00:01:04.208,99.9
08/06/2023 00:01:05.219,99.9
08/06/2023 00:01:06.229,99.9
08/06/2023 00:01:07.238,99.9
08/06/2023 00:01:08.258,99.9
08/06/2023 00:01:09.275,99.9
08/06/2023 00:01:10.286,99.9
08/06/2023 00:01:11.292,99.9
08/06/2023 00:01:12.303,99.9
08/06/2023 00:01:13.323,99.9
08/06/2023 00:01:14.331,99.9
08/06/2023 00:01:15.350,99.9
08/06/2023 00:01:16.358,99.9
08/06/2023 00:01:17.382,99.9
08/06/2023 00:01:18.401,99.9
08/06/2023 00:01:19.409,99.9
08/06/2023 00:01:20.419,99.9
08/06/2023 00:01:21.428,99.9
08/06/2023 00:01:22.442,99.9
08/06/2023 00:01:23.453,99.9
08/06/2023 00:01:24.460,99.9
08/06/2023 00:01:25.469,99.9
08/06/2023 00:01:26.481,99.9
08/06/2023 00:01:27.496,99.9
08/06/2023 00:01:28.514,99.9
08/06/2023 00:01:29.532,99.9
08/06/2023 00:01:30.557,99.9
08/06/2023 00:01:31.574,99.9
08/06/2023 00:01:32.581,99.9
08/06/2023 00:01:33.592,99.9
08/06/2023 00:01:34.599,99.9
08/06/2023 00:01:35.607,99.9
08/06/2023 00:01:36.617,99.9
08/06/2023 00:01:37.625,99.9
08/06/2023 00:01:38.645,99.9
08/06/2023 00:01:39.652,99.9
08/06/2023 00:01:40.663,99.9
08/06/2023 00:01:41.679,99.9
08/06/2023 00:01:42.687,99.9
08/06/2023 00:01:43.709,99.9
08/06/2023 00:01:44.734,99.9
08/06/2023 00:01:45.750,99.9
08/06/2023 00:01:46.772,99.9
08/06/2023 00:01:47.793,99.9
08/06/2023 00:01:48.803,99.9
08/06/2023 00:01:49.810,99.9
08/06/2023 00:01:50.828,99.9
08/06/2023 00:01:51.838,99.9
08/06/2023 00:01:52.861,99.9
08/06/2023 00:01:53.873,99.9
08/06/2023 00:01:54.881,99.9
08/06/2023 00:01:55.890,99.9
