'EPIC N.MF.MV Log File

'Date,N.MF.MV
08/06/2023 12:21:46.741,-1.00E-04
08/06/2023 12:21:47.739,-1.00E-04
08/06/2023 12:21:55.738,2.00E-04
08/06/2023 12:21:57.738,2.00E-04
08/06/2023 12:21:59.744,2.00E-04
08/06/2023 12:22:01.759,2.00E-04
08/06/2023 12:22:24.798,1.00E-04
08/06/2023 12:22:26.798,1.00E-04
08/06/2023 12:22:31.802,1.00E-04
08/06/2023 12:22:33.822,1.00E-04
08/06/2023 12:22:37.821,1.00E-04
08/06/2023 12:22:39.823,1.00E-04
08/06/2023 12:22:46.910,0.0
08/06/2023 12:22:47.921,0.0
08/06/2023 12:22:49.925,0.0
08/06/2023 12:22:50.949,-3.00E-04
08/06/2023 12:22:51.962,-3.00E-04
08/06/2023 12:22:53.961,1.00E-04
08/06/2023 12:22:55.959,1.00E-04
08/06/2023 12:22:57.982,1.00E-04
08/06/2023 12:22:59.981,6.00E-04
08/06/2023 12:23:01.982,6.00E-04
08/06/2023 12:23:03.982,2.00E-04
08/06/2023 12:23:05.981,2.00E-04
08/06/2023 12:23:14.005,2.00E-04
08/06/2023 12:23:16.019,2.00E-04
08/06/2023 12:23:18.023,2.00E-04
08/06/2023 12:23:23.041,2.00E-04
08/06/2023 12:23:25.061,2.00E-04
08/06/2023 12:23:34.163,2.00E-04
08/06/2023 12:23:36.179,2.00E-04
08/06/2023 12:23:37.181,1.00E-04
08/06/2023 12:23:38.186,1.00E-04
08/06/2023 12:23:40.221,3.00E-04
08/06/2023 12:23:41.218,3.00E-04
08/06/2023 12:23:47.261,1.00E-04
08/06/2023 12:23:48.258,1.00E-04
08/06/2023 12:23:57.325,0.0
08/06/2023 12:23:58.342,0.0
08/06/2023 12:23:59.343,0.0
08/06/2023 12:24:00.361,1.00E-04
08/06/2023 12:24:01.362,1.00E-04
08/06/2023 12:24:07.377,4.00E-04
08/06/2023 12:24:08.380,4.00E-04
08/06/2023 12:24:22.380,1.00E-04
08/06/2023 12:24:23.377,1.00E-04
08/06/2023 12:24:25.377,3.00E-04
08/06/2023 12:24:26.380,3.00E-04
08/06/2023 12:24:29.377,0.0
08/06/2023 12:24:30.380,0.0
08/06/2023 12:24:32.380,-2.00E-04
08/06/2023 12:24:33.377,-2.00E-04
08/06/2023 12:24:39.377,0.0
08/06/2023 12:24:40.380,0.0
08/06/2023 12:24:42.380,-1.00E-04
08/06/2023 12:24:43.378,-1.00E-04
08/06/2023 12:24:49.377,0.0
08/06/2023 12:24:50.379,0.0
08/06/2023 12:24:51.381,0.0
08/06/2023 12:24:53.380,2.00E-04
08/06/2023 12:24:54.377,2.00E-04
08/06/2023 12:25:07.379,0.0
08/06/2023 12:25:09.379,0.0
08/06/2023 12:25:11.385,-1.00E-04
08/06/2023 12:25:12.402,-1.00E-04
08/06/2023 12:25:14.427,1.00E-04
08/06/2023 12:25:16.438,1.00E-04
08/06/2023 12:25:17.443,4.00E-04
08/06/2023 12:25:18.462,4.00E-04
08/06/2023 12:25:20.461,2.00E-04
08/06/2023 12:25:21.459,2.00E-04
08/06/2023 12:25:23.482,0.0
08/06/2023 12:25:25.482,0.0
08/06/2023 12:25:26.479,-2.00E-04
08/06/2023 12:25:27.481,-2.00E-04
08/06/2023 12:25:36.523,2.00E-04
08/06/2023 12:25:38.538,2.00E-04
08/06/2023 12:25:40.542,1.00E-04
08/06/2023 12:25:42.558,1.00E-04
08/06/2023 12:25:50.598,2.00E-04
08/06/2023 12:25:52.599,2.00E-04
08/06/2023 12:26:02.681,3.00E-04
08/06/2023 12:26:04.682,3.00E-04
08/06/2023 12:26:06.683,4.00E-04
08/06/2023 12:26:08.698,4.00E-04
08/06/2023 12:26:09.702,0.0
08/06/2023 12:26:11.703,0.0
08/06/2023 12:26:12.721,5.00E-04
08/06/2023 12:26:13.718,5.00E-04
08/06/2023 12:26:18.721,3.00E-04
08/06/2023 12:26:19.719,3.00E-04
08/06/2023 12:26:25.743,0.0
08/06/2023 12:26:26.761,0.0
08/06/2023 12:26:28.762,2.00E-04
08/06/2023 12:26:29.759,2.00E-04
08/06/2023 12:26:32.762,0.0
08/06/2023 12:26:34.761,0.0
08/06/2023 12:26:35.758,-1.00E-04
08/06/2023 12:26:36.765,-1.00E-04
08/06/2023 12:26:42.798,0.0
08/06/2023 12:26:43.801,0.0
08/06/2023 12:26:45.802,0.0
08/06/2023 12:26:46.825,0.0
08/06/2023 12:26:47.852,0.0
08/06/2023 12:26:48.861,1.00E-04
08/06/2023 12:26:49.865,1.00E-04
08/06/2023 12:26:58.921,2.00E-04
08/06/2023 12:26:59.922,2.00E-04
08/06/2023 12:27:05.939,0.0
08/06/2023 12:27:06.942,0.0
08/06/2023 12:27:08.941,2.00E-04
08/06/2023 12:27:09.938,2.00E-04
08/06/2023 12:27:19.021,0.0
08/06/2023 12:27:20.022,0.0
08/06/2023 12:27:22.022,0.0
08/06/2023 12:27:23.026,0.0
08/06/2023 12:27:24.041,0.0
08/06/2023 12:27:26.043,1.00E-04
08/06/2023 12:27:28.058,1.00E-04
08/06/2023 12:27:29.062,0.0
08/06/2023 12:27:31.061,0.0
08/06/2023 12:27:32.062,-3.00E-04
08/06/2023 12:27:33.065,-3.00E-04
08/06/2023 12:27:36.111,2.00E-04
08/06/2023 12:27:38.144,2.00E-04
08/06/2023 12:27:40.158,2.00E-04
08/06/2023 12:27:48.181,0.0
08/06/2023 12:27:50.181,0.0
08/06/2023 12:27:52.181,-1.00E-04
08/06/2023 12:27:53.178,-1.00E-04
08/06/2023 12:27:55.178,0.0
08/06/2023 12:27:56.182,0.0
08/06/2023 12:27:58.190,0.0
08/06/2023 12:27:59.202,2.00E-04
08/06/2023 12:28:00.198,2.00E-04
08/06/2023 12:28:09.242,0.0
08/06/2023 12:28:10.261,0.0
08/06/2023 12:28:12.263,-2.00E-04
08/06/2023 12:28:13.282,-2.00E-04
