'EPIC GC Atmion.PG.MV Log File

'Date,GC Atmion.PG.MV
08/06/2023 00:02:08.016,6.60E-09
08/06/2023 00:02:09.025,6.60E-09
08/06/2023 00:02:10.060,6.60E-09
08/06/2023 00:02:11.071,6.60E-09
08/06/2023 00:02:12.082,6.60E-09
08/06/2023 00:02:13.090,6.70E-09
08/06/2023 00:02:14.099,6.70E-09
08/06/2023 00:02:15.124,6.70E-09
08/06/2023 00:02:16.133,6.70E-09
08/06/2023 00:02:17.142,6.70E-09
08/06/2023 00:02:18.153,6.80E-09
08/06/2023 00:02:19.160,6.80E-09
08/06/2023 00:02:20.170,6.80E-09
08/06/2023 00:02:21.191,6.80E-09
08/06/2023 00:02:22.203,6.80E-09
08/06/2023 00:02:23.223,6.80E-09
08/06/2023 00:02:24.241,6.80E-09
08/06/2023 00:02:25.262,6.80E-09
08/06/2023 00:02:26.271,6.80E-09
08/06/2023 00:02:27.292,6.80E-09
08/06/2023 00:02:28.303,6.80E-09
08/06/2023 00:02:29.324,6.90E-09
08/06/2023 00:02:30.335,6.90E-09
08/06/2023 00:02:31.345,6.90E-09
08/06/2023 00:02:32.352,6.90E-09
08/06/2023 00:02:33.374,6.90E-09
08/06/2023 00:02:34.383,6.90E-09
08/06/2023 00:02:35.395,6.90E-09
08/06/2023 00:02:36.402,7.00E-09
08/06/2023 00:02:37.411,7.00E-09
08/06/2023 00:02:38.416,7.00E-09
08/06/2023 00:02:39.428,7.00E-09
08/06/2023 00:02:40.437,7.00E-09
08/06/2023 00:02:41.462,7.00E-09
08/06/2023 00:02:42.484,7.00E-09
08/06/2023 00:02:43.503,7.10E-09
08/06/2023 00:02:44.512,7.10E-09
08/06/2023 00:02:45.519,7.10E-09
08/06/2023 00:02:46.537,7.10E-09
08/06/2023 00:02:47.559,7.10E-09
08/06/2023 00:02:48.568,7.20E-09
08/06/2023 00:02:49.577,7.20E-09
08/06/2023 00:02:50.584,7.20E-09
08/06/2023 00:02:51.598,7.20E-09
08/06/2023 00:02:52.612,7.20E-09
08/06/2023 00:02:53.635,7.20E-09
08/06/2023 00:02:54.644,7.20E-09
08/06/2023 00:02:55.654,7.30E-09
08/06/2023 00:02:56.676,7.30E-09
08/06/2023 00:02:57.686,7.30E-09
08/06/2023 00:02:58.696,7.30E-09
08/06/2023 00:02:59.718,7.30E-09
08/06/2023 00:03:00.726,7.40E-09
08/06/2023 00:03:01.750,7.40E-09
08/06/2023 00:03:02.769,7.40E-09
08/06/2023 00:03:03.779,7.40E-09
08/06/2023 00:03:04.799,7.40E-09
08/06/2023 00:03:05.810,7.40E-09
08/06/2023 00:03:06.820,7.40E-09
08/06/2023 00:03:07.832,7.40E-09
08/06/2023 00:03:08.852,7.40E-09
08/06/2023 00:03:09.876,7.50E-09
08/06/2023 00:03:10.899,7.50E-09
