'EPIC Ga.PID.MV Log File

'Date,Ga.PID.MV
08/06/2023 00:00:01.274,300.0
08/06/2023 00:00:02.282,300.0
08/06/2023 00:00:03.290,300.0
08/06/2023 00:00:04.309,300.0
08/06/2023 00:00:05.319,300.0
08/06/2023 00:00:06.327,300.0
08/06/2023 00:00:07.338,300.0
08/06/2023 00:00:08.350,300.0
08/06/2023 00:00:09.368,300.0
08/06/2023 00:00:10.388,300.0
08/06/2023 00:00:11.406,300.0
08/06/2023 00:00:12.433,300.0
08/06/2023 00:00:13.453,300.0
08/06/2023 00:00:14.471,300.0
08/06/2023 00:00:15.492,300.0
08/06/2023 00:00:16.501,300.0
08/06/2023 00:00:17.513,300.0
08/06/2023 00:00:18.549,300.0
08/06/2023 00:00:19.565,300.0
08/06/2023 00:00:20.585,300.0
08/06/2023 00:00:21.604,300.0
08/06/2023 00:00:22.613,300.0
08/06/2023 00:00:23.635,300.0
08/06/2023 00:00:24.665,300.0
08/06/2023 00:00:25.680,300.0
08/06/2023 00:00:26.689,300.0
08/06/2023 00:00:27.697,300.0
08/06/2023 00:00:28.706,300.0
08/06/2023 00:00:29.714,300.0
08/06/2023 00:00:30.725,300.0
08/06/2023 00:00:31.738,300.0
08/06/2023 00:00:32.747,300.0
08/06/2023 00:00:33.757,300.0
08/06/2023 00:00:34.779,300.0
08/06/2023 00:00:35.786,300.0
08/06/2023 00:00:36.807,300.0
08/06/2023 00:00:37.826,300.0
08/06/2023 00:00:38.832,300.0
08/06/2023 00:00:39.840,300.0
08/06/2023 00:00:40.853,300.0
08/06/2023 00:00:41.870,300.0
08/06/2023 00:00:42.890,300.0
08/06/2023 00:00:43.902,300.0
08/06/2023 00:00:44.908,300.0
08/06/2023 00:00:45.929,300.0
08/06/2023 00:00:46.947,300.0
08/06/2023 00:00:47.966,300.0
08/06/2023 00:00:48.980,300.0
08/06/2023 00:00:49.993,300.0
08/06/2023 00:00:51.026,300.0
08/06/2023 00:00:52.042,300.0
08/06/2023 00:00:53.057,300.0
08/06/2023 00:00:54.071,300.0
08/06/2023 00:00:55.082,300.0
08/06/2023 00:00:56.096,300.0
08/06/2023 00:00:57.103,300.0
08/06/2023 00:00:58.111,300.0
08/06/2023 00:00:59.119,300.0
08/06/2023 00:01:00.141,300.0
08/06/2023 00:01:01.155,300.0
08/06/2023 00:01:02.182,300.0
08/06/2023 00:01:03.196,300.0
08/06/2023 00:01:04.207,300.0
08/06/2023 00:01:05.215,300.0
08/06/2023 00:01:06.226,300.0
08/06/2023 00:01:07.236,300.0
08/06/2023 00:01:08.256,300.0
08/06/2023 00:01:09.273,300.0
08/06/2023 00:01:10.284,300.0
08/06/2023 00:01:11.290,300.0
08/06/2023 00:01:12.301,300.0
08/06/2023 00:01:13.321,300.0
08/06/2023 00:01:14.329,300.0
08/06/2023 00:01:15.348,300.0
08/06/2023 00:01:16.356,300.0
08/06/2023 00:01:17.381,300.0
08/06/2023 00:01:18.399,300.0
08/06/2023 00:01:19.407,300.0
08/06/2023 00:01:20.418,300.0
