'EPIC LL IG.PG.MV Log File

'Date,LL IG.PG.MV
08/06/2023 00:00:01.277,9.20E-09
08/06/2023 00:00:02.285,9.20E-09
08/06/2023 00:00:03.292,9.20E-09
08/06/2023 00:00:04.312,9.20E-09
08/06/2023 00:00:05.322,9.20E-09
08/06/2023 00:00:06.330,9.20E-09
08/06/2023 00:00:07.341,9.20E-09
08/06/2023 00:00:08.352,9.20E-09
08/06/2023 00:00:09.371,9.20E-09
08/06/2023 00:00:10.391,9.20E-09
08/06/2023 00:00:11.411,9.20E-09
08/06/2023 00:00:12.438,9.20E-09
08/06/2023 00:00:13.456,9.20E-09
08/06/2023 00:00:14.474,9.20E-09
08/06/2023 00:00:15.494,9.20E-09
08/06/2023 00:00:16.504,9.20E-09
08/06/2023 00:00:17.516,9.20E-09
08/06/2023 00:00:18.553,9.20E-09
08/06/2023 00:00:19.568,9.20E-09
08/06/2023 00:00:20.588,9.20E-09
08/06/2023 00:00:21.606,9.20E-09
08/06/2023 00:00:22.615,9.20E-09
08/06/2023 00:00:23.638,9.20E-09
08/06/2023 00:00:24.668,9.20E-09
08/06/2023 00:00:25.682,9.20E-09
08/06/2023 00:00:26.692,9.20E-09
08/06/2023 00:00:27.699,9.20E-09
08/06/2023 00:00:28.709,9.20E-09
08/06/2023 00:00:29.716,9.20E-09
08/06/2023 00:00:30.728,9.20E-09
08/06/2023 00:00:31.741,9.20E-09
08/06/2023 00:00:32.750,9.20E-09
08/06/2023 00:00:33.760,9.20E-09
08/06/2023 00:00:34.781,9.20E-09
08/06/2023 00:00:35.789,9.20E-09
08/06/2023 00:00:36.809,9.20E-09
08/06/2023 00:00:37.829,9.20E-09
08/06/2023 00:00:38.835,9.20E-09
08/06/2023 00:00:39.845,9.20E-09
08/06/2023 00:00:40.856,9.20E-09
08/06/2023 00:00:41.873,9.20E-09
08/06/2023 00:00:42.893,9.20E-09
08/06/2023 00:00:43.905,9.20E-09
08/06/2023 00:00:44.911,9.20E-09
08/06/2023 00:00:45.931,9.20E-09
08/06/2023 00:00:46.950,9.20E-09
08/06/2023 00:00:47.969,9.20E-09
08/06/2023 00:00:48.984,9.20E-09
08/06/2023 00:00:49.996,9.20E-09
08/06/2023 00:00:51.029,9.20E-09
08/06/2023 00:00:52.045,9.20E-09
08/06/2023 00:00:53.060,9.20E-09
08/06/2023 00:00:54.073,9.20E-09
08/06/2023 00:00:55.085,9.20E-09
08/06/2023 00:00:56.099,9.20E-09
08/06/2023 00:00:57.106,9.20E-09
08/06/2023 00:00:58.114,9.20E-09
08/06/2023 00:00:59.122,9.20E-09
08/06/2023 00:01:00.144,9.20E-09
08/06/2023 00:01:01.157,9.20E-09
08/06/2023 00:01:02.185,9.20E-09
08/06/2023 00:01:03.198,9.20E-09
08/06/2023 00:01:04.211,9.20E-09
08/06/2023 00:01:05.220,9.20E-09
08/06/2023 00:01:06.230,9.20E-09
08/06/2023 00:01:07.239,9.20E-09
08/06/2023 00:01:08.258,9.20E-09
08/06/2023 00:01:09.276,9.20E-09
08/06/2023 00:01:10.287,9.20E-09
08/06/2023 00:01:11.293,9.20E-09
08/06/2023 00:01:12.304,9.20E-09
08/06/2023 00:01:13.324,9.20E-09
08/06/2023 00:01:14.332,9.20E-09
08/06/2023 00:01:15.350,9.20E-09
08/06/2023 00:01:16.359,9.20E-09
08/06/2023 00:01:17.383,9.20E-09
08/06/2023 00:01:18.402,9.20E-09
08/06/2023 00:01:19.409,9.20E-09
08/06/2023 00:01:20.420,9.20E-09
08/06/2023 00:01:21.429,9.20E-09
08/06/2023 00:01:22.442,9.20E-09
08/06/2023 00:01:23.454,9.20E-09
08/06/2023 00:01:24.461,9.20E-09
