'EPIC SnOHL.PID.MV Log File

'Date,SnOHL.PID.MV
08/06/2023 00:00:01.276,450.0
08/06/2023 00:00:02.284,450.0
08/06/2023 00:00:03.291,450.0
08/06/2023 00:00:04.311,450.0
08/06/2023 00:00:05.321,450.0
08/06/2023 00:00:06.329,450.0
08/06/2023 00:00:07.340,450.0
08/06/2023 00:00:08.351,450.0
08/06/2023 00:00:09.370,450.0
08/06/2023 00:00:10.390,450.0
08/06/2023 00:00:11.410,450.0
08/06/2023 00:00:12.437,450.0
08/06/2023 00:00:13.455,450.0
08/06/2023 00:00:14.473,450.0
08/06/2023 00:00:15.494,450.0
08/06/2023 00:00:16.503,450.0
08/06/2023 00:00:17.514,450.0
08/06/2023 00:00:18.551,450.0
08/06/2023 00:00:19.567,450.0
08/06/2023 00:00:20.587,450.0
08/06/2023 00:00:21.605,450.0
08/06/2023 00:00:22.615,450.0
08/06/2023 00:00:23.637,450.0
08/06/2023 00:00:24.667,450.0
08/06/2023 00:00:25.681,450.0
08/06/2023 00:00:26.691,450.0
08/06/2023 00:00:27.698,450.0
08/06/2023 00:00:28.708,450.0
08/06/2023 00:00:29.716,450.0
08/06/2023 00:00:30.727,450.0
08/06/2023 00:00:31.740,450.0
08/06/2023 00:00:32.749,450.0
08/06/2023 00:00:33.759,450.0
08/06/2023 00:00:34.780,450.0
08/06/2023 00:00:35.788,450.0
08/06/2023 00:00:36.808,450.0
08/06/2023 00:00:37.828,450.0
08/06/2023 00:00:38.834,450.0
08/06/2023 00:00:39.842,450.0
08/06/2023 00:00:40.855,450.0
08/06/2023 00:00:41.872,450.0
08/06/2023 00:00:42.892,450.0
08/06/2023 00:00:43.904,450.0
08/06/2023 00:00:44.910,450.0
08/06/2023 00:00:45.931,450.0
08/06/2023 00:00:46.949,450.0
08/06/2023 00:00:47.968,450.0
08/06/2023 00:00:48.982,450.0
08/06/2023 00:00:49.995,450.0
08/06/2023 00:00:51.028,450.0
08/06/2023 00:00:52.044,450.0
08/06/2023 00:00:53.059,450.0
08/06/2023 00:00:54.072,450.0
08/06/2023 00:00:55.084,450.0
08/06/2023 00:00:56.098,450.0
08/06/2023 00:00:57.105,450.0
08/06/2023 00:00:58.113,450.0
08/06/2023 00:00:59.121,450.0
08/06/2023 00:01:00.143,450.0
08/06/2023 00:01:01.157,450.0
08/06/2023 00:01:02.184,450.0
08/06/2023 00:01:03.197,450.0
08/06/2023 00:01:04.208,450.0
08/06/2023 00:01:05.219,450.0
08/06/2023 00:01:06.229,450.0
08/06/2023 00:01:07.238,450.0
08/06/2023 00:01:08.258,450.0
08/06/2023 00:01:09.275,450.0
08/06/2023 00:01:10.286,450.0
08/06/2023 00:01:11.292,450.0
08/06/2023 00:01:12.303,450.0
08/06/2023 00:01:13.323,450.0
08/06/2023 00:01:14.331,450.0
08/06/2023 00:01:15.349,450.0
08/06/2023 00:01:16.358,450.0
08/06/2023 00:01:17.382,450.0
08/06/2023 00:01:18.401,450.0
08/06/2023 00:01:19.409,450.0
08/06/2023 00:01:20.419,450.0
08/06/2023 00:01:21.428,450.0
08/06/2023 00:01:22.441,450.0
08/06/2023 00:01:23.453,450.0
08/06/2023 00:01:24.460,450.0
08/06/2023 00:01:25.469,450.0
08/06/2023 00:01:26.481,450.0
08/06/2023 00:01:27.495,450.0
08/06/2023 00:01:28.514,450.0
08/06/2023 00:01:29.532,450.0
08/06/2023 00:01:30.557,450.0
08/06/2023 00:01:31.574,450.0
