'EPIC O.Forward.MV Log File

'Date,O.Forward.MV
08/06/2023 12:21:17.584,307.5
08/06/2023 12:21:18.603,305.0
08/06/2023 12:21:20.602,306.9
08/06/2023 12:21:21.614,306.2
08/06/2023 12:21:23.643,305.6
08/06/2023 12:21:25.646,310.0
08/06/2023 12:21:26.665,305.0
08/06/2023 12:21:27.682,308.1
08/06/2023 12:21:29.683,306.9
08/06/2023 12:21:30.680,306.9
08/06/2023 12:21:35.682,305.6
08/06/2023 12:21:37.684,307.5
08/06/2023 12:21:38.702,305.6
08/06/2023 12:21:40.703,307.5
08/06/2023 12:21:41.726,306.2
08/06/2023 12:21:42.743,307.5
08/06/2023 12:21:44.743,306.2
08/06/2023 12:21:45.740,305.6
08/06/2023 12:21:55.739,308.1
08/06/2023 12:21:56.742,307.5
08/06/2023 12:21:58.742,306.9
08/06/2023 12:21:59.745,306.9
08/06/2023 12:22:13.802,308.1
08/06/2023 12:22:15.803,306.2
08/06/2023 12:22:16.799,306.9
08/06/2023 12:22:26.799,307.5
08/06/2023 12:22:27.803,306.9
08/06/2023 12:22:29.802,305.6
08/06/2023 12:22:30.798,306.2
08/06/2023 12:22:33.822,307.5
08/06/2023 12:22:35.823,306.9
08/06/2023 12:22:37.822,306.2
08/06/2023 12:22:38.819,305.6
08/06/2023 12:22:40.843,305.0
08/06/2023 12:22:42.845,308.1
08/06/2023 12:22:43.866,307.5
08/06/2023 12:22:45.884,306.9
08/06/2023 12:22:46.911,306.2
08/06/2023 12:22:49.926,304.4
08/06/2023 12:22:50.950,306.2
08/06/2023 12:22:51.963,305.6
08/06/2023 12:22:54.963,307.5
08/06/2023 12:22:56.964,306.2
08/06/2023 12:22:57.983,304.4
08/06/2023 12:22:59.982,306.2
08/06/2023 12:23:00.979,306.2
08/06/2023 12:23:04.979,308.1
08/06/2023 12:23:05.981,305.6
08/06/2023 12:23:06.983,306.9
08/06/2023 12:23:08.983,306.2
08/06/2023 12:23:19.043,305.0
08/06/2023 12:23:21.042,306.9
08/06/2023 12:23:22.039,306.2
08/06/2023 12:23:27.065,308.1
08/06/2023 12:23:28.084,307.5
08/06/2023 12:23:30.122,306.9
08/06/2023 12:23:32.126,306.2
08/06/2023 12:23:35.183,305.6
08/06/2023 12:23:36.179,306.2
08/06/2023 12:23:39.205,306.9
08/06/2023 12:23:40.222,307.5
08/06/2023 12:23:42.224,305.6
08/06/2023 12:23:43.243,306.2
08/06/2023 12:23:45.262,308.1
08/06/2023 12:23:46.258,307.5
08/06/2023 12:23:48.259,305.6
08/06/2023 12:23:49.262,305.6
08/06/2023 12:23:51.263,303.7
08/06/2023 12:23:52.265,303.7
08/06/2023 12:23:53.285,306.9
08/06/2023 12:23:54.306,306.2
08/06/2023 12:23:56.318,308.7
08/06/2023 12:23:57.326,305.0
08/06/2023 12:23:58.343,307.5
08/06/2023 12:23:59.344,305.6
08/06/2023 12:24:00.362,305.0
08/06/2023 12:24:01.363,306.2
08/06/2023 12:24:03.363,307.5
08/06/2023 12:24:04.380,305.0
08/06/2023 12:24:05.377,305.6
08/06/2023 12:24:06.380,306.9
08/06/2023 12:24:07.377,306.2
08/06/2023 12:24:18.380,305.6
08/06/2023 12:24:20.381,306.2
08/06/2023 12:24:29.377,306.9
08/06/2023 12:24:30.381,306.2
08/06/2023 12:24:32.381,305.6
08/06/2023 12:24:33.377,306.2
08/06/2023 12:24:35.377,307.5
08/06/2023 12:24:36.383,307.5
08/06/2023 12:24:38.381,306.2
08/06/2023 12:24:39.378,306.2
08/06/2023 12:24:42.381,307.5
08/06/2023 12:24:44.381,306.2
08/06/2023 12:24:45.377,306.9
08/06/2023 12:24:51.381,305.0
08/06/2023 12:24:53.380,306.2
08/06/2023 12:24:54.377,306.9
08/06/2023 12:24:56.377,307.5
08/06/2023 12:24:57.380,307.5
08/06/2023 12:25:09.380,306.2
08/06/2023 12:25:10.377,305.6
08/06/2023 12:25:13.407,307.5
08/06/2023 12:25:14.427,308.1
08/06/2023 12:25:16.438,306.2
08/06/2023 12:25:17.443,307.5
08/06/2023 12:25:18.463,308.1
08/06/2023 12:25:21.459,306.2
08/06/2023 12:25:22.464,306.2
08/06/2023 12:25:38.538,308.1
08/06/2023 12:25:39.542,305.0
08/06/2023 12:25:40.543,306.9
08/06/2023 12:25:41.562,305.6
08/06/2023 12:25:43.562,306.9
08/06/2023 12:25:44.567,306.2
08/06/2023 12:25:45.582,308.1
08/06/2023 12:25:46.583,305.6
08/06/2023 12:25:47.602,306.2
08/06/2023 12:25:49.601,308.1
08/06/2023 12:25:51.602,305.6
08/06/2023 12:25:53.602,306.9
08/06/2023 12:25:54.599,307.5
08/06/2023 12:25:55.608,306.2
08/06/2023 12:25:56.624,305.6
08/06/2023 12:25:57.642,307.5
08/06/2023 12:25:58.638,306.9
08/06/2023 12:26:00.643,306.2
08/06/2023 12:26:01.665,305.6
08/06/2023 12:26:10.698,307.5
08/06/2023 12:26:11.703,306.2
08/06/2023 12:26:12.722,306.2
08/06/2023 12:26:14.722,305.0
08/06/2023 12:26:15.718,305.0
08/06/2023 12:26:16.722,306.9
08/06/2023 12:26:17.719,306.2
08/06/2023 12:26:18.722,307.5
08/06/2023 12:26:19.720,306.9
08/06/2023 12:26:22.725,305.6
08/06/2023 12:26:23.742,304.4
08/06/2023 12:26:25.744,305.6
08/06/2023 12:26:26.762,305.6
08/06/2023 12:26:29.759,306.9
08/06/2023 12:26:30.762,308.1
08/06/2023 12:26:31.758,308.1
08/06/2023 12:26:32.762,306.2
08/06/2023 12:26:34.762,306.9
08/06/2023 12:26:45.803,307.5
08/06/2023 12:26:46.825,305.6
08/06/2023 12:26:47.853,306.9
08/06/2023 12:26:48.862,307.5
08/06/2023 12:26:50.882,305.6
08/06/2023 12:26:52.882,306.2
08/06/2023 12:26:57.919,306.9
08/06/2023 12:26:58.922,306.9
08/06/2023 12:27:02.942,305.6
08/06/2023 12:27:03.938,305.6
08/06/2023 12:27:05.940,306.9
08/06/2023 12:27:06.942,306.9
08/06/2023 12:27:21.018,305.6
08/06/2023 12:27:22.022,306.2
08/06/2023 12:27:25.039,306.9
08/06/2023 12:27:26.044,306.2
08/06/2023 12:27:31.061,305.6
08/06/2023 12:27:32.062,306.9
08/06/2023 12:27:33.066,306.2
08/06/2023 12:27:39.162,305.6
08/06/2023 12:27:40.158,306.2
08/06/2023 12:27:45.163,306.9
08/06/2023 12:27:46.181,305.6
08/06/2023 12:27:47.178,305.6
08/06/2023 12:27:56.183,306.9
08/06/2023 12:27:57.179,306.2
08/06/2023 12:29:09.501,305.6
08/06/2023 12:29:10.498,306.2
08/06/2023 12:29:17.498,306.9
08/06/2023 12:29:18.501,306.9
08/06/2023 12:29:23.566,305.6
08/06/2023 12:29:24.581,306.9
08/06/2023 12:29:25.578,306.2
08/06/2023 12:29:41.698,305.0
08/06/2023 12:29:42.702,306.9
08/06/2023 12:29:43.703,306.2
08/06/2023 12:29:45.730,305.6
08/06/2023 12:29:46.742,306.2
08/06/2023 12:29:48.742,306.9
08/06/2023 12:29:49.743,306.2
08/06/2023 12:30:08.799,305.6
08/06/2023 12:30:09.800,306.2
08/06/2023 12:30:12.803,306.9
08/06/2023 12:30:13.824,306.9
08/06/2023 12:30:43.923,305.6
08/06/2023 12:30:44.942,306.2
08/06/2023 12:30:51.958,306.9
08/06/2023 12:30:52.962,306.2
08/06/2023 12:31:01.958,305.6
08/06/2023 12:31:02.961,306.2
08/06/2023 12:31:04.963,306.9
08/06/2023 12:31:05.981,306.2
08/06/2023 12:31:13.073,305.6
08/06/2023 12:31:14.090,306.9
08/06/2023 12:31:15.102,306.9
08/06/2023 12:31:17.101,305.6
08/06/2023 12:31:19.109,306.9
08/06/2023 12:31:20.121,305.6
08/06/2023 12:31:21.119,306.2
08/06/2023 12:31:27.182,306.9
08/06/2023 12:31:28.177,306.2
08/06/2023 12:31:57.394,305.6
08/06/2023 12:31:58.414,306.9
08/06/2023 12:31:59.434,306.9
08/06/2023 12:32:19.489,305.6
08/06/2023 12:32:20.491,306.9
08/06/2023 12:32:21.489,306.2
08/06/2023 12:33:04.752,305.6
08/06/2023 12:33:06.752,306.2
08/06/2023 12:33:09.748,307.5
08/06/2023 12:33:10.751,306.2
08/06/2023 12:33:11.753,306.2
08/06/2023 12:33:17.812,307.5
08/06/2023 12:33:19.811,306.2
08/06/2023 12:33:20.808,306.9
08/06/2023 12:33:24.831,308.1
08/06/2023 12:33:26.831,305.6
08/06/2023 12:33:27.828,305.0
08/06/2023 12:33:28.832,306.2
08/06/2023 12:33:29.828,306.2
08/06/2023 12:33:35.877,305.0
08/06/2023 12:33:36.894,307.5
08/06/2023 12:33:37.912,306.9
08/06/2023 12:33:45.907,309.4
08/06/2023 12:33:46.911,305.6
08/06/2023 12:33:47.908,306.2
08/06/2023 12:33:50.953,307.5
08/06/2023 12:33:51.971,304.4
08/06/2023 12:33:53.972,308.7
08/06/2023 12:33:54.973,305.0
08/06/2023 12:33:55.993,306.2
08/06/2023 12:33:57.012,306.9
08/06/2023 12:34:02.007,308.1
08/06/2023 12:34:03.015,306.9
08/06/2023 12:34:04.032,306.9
08/06/2023 12:34:05.051,308.1
08/06/2023 12:34:07.053,306.2
08/06/2023 12:34:08.075,306.9
08/06/2023 12:34:32.214,307.5
08/06/2023 12:34:33.233,307.5
08/06/2023 12:34:34.255,306.2
08/06/2023 12:34:35.273,306.2
08/06/2023 12:34:41.307,307.5
08/06/2023 12:34:42.312,306.9
08/06/2023 12:34:44.312,306.2
08/06/2023 12:34:45.307,306.2
08/06/2023 12:35:06.431,307.5
08/06/2023 12:35:08.432,306.9
08/06/2023 12:35:10.450,306.2
08/06/2023 12:35:11.451,306.9
08/06/2023 12:35:16.473,308.1
08/06/2023 12:35:17.491,306.2
08/06/2023 12:35:18.488,306.2
08/06/2023 12:35:34.532,307.5
08/06/2023 12:35:35.555,306.2
08/06/2023 12:35:36.573,307.5
08/06/2023 12:35:37.593,306.9
08/06/2023 12:35:41.607,308.7
08/06/2023 12:35:42.621,308.1
08/06/2023 12:35:43.632,306.9
08/06/2023 12:35:44.628,306.2
08/06/2023 12:35:46.653,305.6
08/06/2023 12:35:47.676,306.2
08/06/2023 12:35:48.693,307.5
08/06/2023 12:35:49.713,306.2
08/06/2023 12:35:50.733,306.2
08/06/2023 12:35:56.747,307.5
08/06/2023 12:35:57.751,305.0
08/06/2023 12:35:58.747,305.0
08/06/2023 12:35:59.752,306.2
08/06/2023 12:36:00.748,306.2
08/06/2023 12:36:05.752,307.5
08/06/2023 12:36:06.748,306.9
08/06/2023 12:36:08.747,306.2
08/06/2023 12:36:09.751,306.2
08/06/2023 12:36:14.772,307.5
08/06/2023 12:36:15.791,306.9
08/06/2023 12:36:17.795,305.6
08/06/2023 12:36:18.810,306.2
08/06/2023 12:36:26.891,306.9
08/06/2023 12:36:27.888,306.9
08/06/2023 12:36:33.930,304.4
08/06/2023 12:36:34.934,305.6
08/06/2023 12:36:35.955,305.6
08/06/2023 12:36:38.972,307.5
08/06/2023 12:36:40.972,306.9
08/06/2023 12:36:41.973,303.7
08/06/2023 12:36:42.991,308.7
08/06/2023 12:36:43.992,306.2
08/06/2023 12:36:45.010,306.9
