'EPIC MIG.PG.GS Log File

'Date,MIG.PG.GS
08/06/2023 00:02:28.303,19.00
08/06/2023 00:02:29.324,19.00
08/06/2023 00:02:30.335,19.00
08/06/2023 00:02:31.344,19.00
08/06/2023 00:02:32.352,19.00
08/06/2023 00:02:33.373,19.00
08/06/2023 00:02:34.383,19.00
08/06/2023 00:02:35.394,19.00
08/06/2023 00:02:36.402,19.00
08/06/2023 00:02:37.410,19.00
08/06/2023 00:02:38.416,19.00
08/06/2023 00:02:39.428,19.00
08/06/2023 00:02:40.437,19.00
08/06/2023 00:02:41.461,19.00
08/06/2023 00:02:42.483,19.00
08/06/2023 00:02:43.503,19.00
08/06/2023 00:02:44.512,19.00
08/06/2023 00:02:45.518,19.00
08/06/2023 00:02:46.537,19.00
08/06/2023 00:02:47.559,19.00
08/06/2023 00:02:48.568,19.00
08/06/2023 00:02:49.577,19.00
08/06/2023 00:02:50.583,19.00
08/06/2023 00:02:51.598,19.00
08/06/2023 00:02:52.611,19.00
08/06/2023 00:02:53.634,19.00
08/06/2023 00:02:54.643,19.00
08/06/2023 00:02:55.653,19.00
08/06/2023 00:02:56.676,19.00
08/06/2023 00:02:57.685,19.00
08/06/2023 00:02:58.696,19.00
08/06/2023 00:02:59.718,19.00
08/06/2023 00:03:00.725,19.00
08/06/2023 00:03:01.749,19.00
08/06/2023 00:03:02.768,19.00
08/06/2023 00:03:03.778,19.00
08/06/2023 00:03:04.798,19.00
08/06/2023 00:03:05.810,19.00
08/06/2023 00:03:06.820,19.00
08/06/2023 00:03:07.831,19.00
08/06/2023 00:03:08.852,19.00
08/06/2023 00:03:09.875,19.00
08/06/2023 00:03:10.899,19.00
08/06/2023 00:03:11.911,19.00
08/06/2023 00:03:12.927,19.00
08/06/2023 00:03:13.941,19.00
08/06/2023 00:03:14.951,19.00
08/06/2023 00:03:15.974,19.00
08/06/2023 00:03:16.987,19.00
08/06/2023 00:03:18.007,19.00
08/06/2023 00:03:19.024,19.00
08/06/2023 00:03:20.047,19.00
08/06/2023 00:03:21.071,19.00
08/06/2023 00:03:22.085,19.00
08/06/2023 00:03:23.094,19.00
08/06/2023 00:03:24.117,19.00
08/06/2023 00:03:25.128,19.00
08/06/2023 00:03:26.149,19.00
08/06/2023 00:03:27.158,19.00
08/06/2023 00:03:28.177,19.00
08/06/2023 00:03:29.191,19.00
08/06/2023 00:03:30.213,19.00
08/06/2023 00:03:31.224,19.00
08/06/2023 00:03:32.248,19.00
08/06/2023 00:03:33.269,19.00
08/06/2023 00:03:34.281,19.00
08/06/2023 00:03:35.292,19.00
08/06/2023 00:03:36.308,19.00
08/06/2023 00:03:37.322,19.00
08/06/2023 00:03:38.344,19.00
08/06/2023 00:03:39.359,19.00
08/06/2023 00:03:40.388,19.00
08/06/2023 00:03:41.403,19.00
08/06/2023 00:03:42.434,19.00
08/06/2023 00:03:43.459,19.00
08/06/2023 00:03:44.475,19.00
08/06/2023 00:03:45.499,19.00
08/06/2023 00:03:46.522,19.00
08/06/2023 00:03:47.547,19.00
08/06/2023 00:03:48.560,19.00
08/06/2023 00:03:49.585,19.00
08/06/2023 00:03:50.596,19.00
08/06/2023 00:03:51.621,19.00
08/06/2023 00:03:52.645,19.00
08/06/2023 00:03:53.667,19.00
08/06/2023 00:03:54.690,19.00
08/06/2023 00:03:55.712,19.00
08/06/2023 00:03:56.722,19.00
08/06/2023 00:03:57.732,19.00
08/06/2023 00:03:58.742,19.00
08/06/2023 00:03:59.751,19.00
08/06/2023 00:04:00.775,19.00
08/06/2023 00:04:01.794,19.00
08/06/2023 00:04:02.807,19.00
08/06/2023 00:04:03.826,19.00
08/06/2023 00:04:04.849,19.00
08/06/2023 00:04:05.872,19.00
08/06/2023 00:04:06.883,19.00
08/06/2023 00:04:07.907,19.00
08/06/2023 00:04:08.915,19.00
08/06/2023 00:04:09.937,19.00
08/06/2023 00:04:10.945,19.00
08/06/2023 00:04:11.966,19.00
08/06/2023 00:04:12.979,19.00
08/06/2023 00:04:13.987,19.00
08/06/2023 00:04:14.997,19.00
08/06/2023 00:04:16.005,19.00
08/06/2023 00:04:17.014,19.00
08/06/2023 00:04:18.037,19.00
08/06/2023 00:04:19.046,19.00
08/06/2023 00:04:20.070,19.00
08/06/2023 00:04:21.083,19.00
08/06/2023 00:04:22.106,19.00
08/06/2023 00:04:23.123,19.00
08/06/2023 00:04:24.145,19.00
08/06/2023 00:04:25.179,19.00
08/06/2023 00:04:26.203,19.00
08/06/2023 00:04:27.227,19.00
08/06/2023 00:04:28.238,19.00
08/06/2023 00:04:29.260,19.00
08/06/2023 00:04:30.271,19.00
08/06/2023 00:04:31.282,19.00
08/06/2023 00:04:32.306,19.00
08/06/2023 00:04:33.315,19.00
08/06/2023 00:04:34.331,19.00
08/06/2023 00:04:35.345,19.00
08/06/2023 00:04:36.363,19.00
08/06/2023 00:04:37.380,19.00
08/06/2023 00:04:38.402,19.00
