'EPIC GeO.PID.MV Log File

'Date,GeO.PID.MV
08/06/2023 00:00:01.275,300.0
08/06/2023 00:00:02.283,300.1
08/06/2023 00:00:03.290,300.2
08/06/2023 00:00:04.309,300.3
08/06/2023 00:00:05.320,300.4
08/06/2023 00:00:06.328,300.5
08/06/2023 00:00:07.339,300.6
08/06/2023 00:00:08.350,300.7
08/06/2023 00:00:09.369,300.8
08/06/2023 00:00:10.388,300.9
08/06/2023 00:00:11.406,301.0
08/06/2023 00:00:12.434,301.1
08/06/2023 00:00:13.454,301.2
08/06/2023 00:00:14.472,301.3
08/06/2023 00:00:15.492,301.4
08/06/2023 00:00:16.501,301.5
08/06/2023 00:00:17.513,301.6
08/06/2023 00:00:18.550,301.7
08/06/2023 00:00:19.566,301.8
08/06/2023 00:00:20.586,301.9
08/06/2023 00:00:21.604,302.0
08/06/2023 00:00:22.613,302.1
08/06/2023 00:00:23.636,302.1
08/06/2023 00:00:24.665,302.1
08/06/2023 00:00:25.680,302.1
08/06/2023 00:00:26.689,300.0
08/06/2023 00:00:27.697,300.1
08/06/2023 00:00:28.707,300.1
08/06/2023 00:00:29.714,300.1
08/06/2023 00:00:30.726,300.1
08/06/2023 00:00:31.739,300.1
08/06/2023 00:00:32.747,300.1
08/06/2023 00:00:33.758,300.1
08/06/2023 00:00:34.779,300.1
08/06/2023 00:00:35.787,300.1
08/06/2023 00:00:36.807,300.0
08/06/2023 00:00:37.827,300.1
08/06/2023 00:00:38.832,300.1
08/06/2023 00:00:39.841,300.1
08/06/2023 00:00:40.854,300.1
08/06/2023 00:00:41.870,300.1
08/06/2023 00:00:42.891,300.1
08/06/2023 00:00:43.902,300.1
08/06/2023 00:00:44.908,300.1
08/06/2023 00:00:45.929,300.0
08/06/2023 00:00:46.948,300.1
08/06/2023 00:00:47.967,300.0
08/06/2023 00:00:48.980,300.0
08/06/2023 00:00:49.993,300.0
08/06/2023 00:00:51.026,300.0
08/06/2023 00:00:52.043,300.0
08/06/2023 00:00:53.058,300.0
08/06/2023 00:00:54.071,300.0
08/06/2023 00:00:55.083,300.0
08/06/2023 00:00:56.096,300.0
08/06/2023 00:00:57.104,300.0
08/06/2023 00:00:58.112,300.0
08/06/2023 00:00:59.120,300.0
08/06/2023 00:01:00.141,300.0
08/06/2023 00:01:01.155,300.0
08/06/2023 00:01:02.183,300.0
08/06/2023 00:01:03.196,300.0
08/06/2023 00:01:04.207,300.0
08/06/2023 00:01:05.218,300.0
08/06/2023 00:01:06.227,300.0
08/06/2023 00:01:07.237,300.0
08/06/2023 00:01:08.256,300.0
08/06/2023 00:01:09.274,300.0
08/06/2023 00:01:10.285,300.0
08/06/2023 00:01:11.291,300.0
08/06/2023 00:01:12.301,299.9
08/06/2023 00:01:13.322,299.9
08/06/2023 00:01:14.330,300.0
08/06/2023 00:01:15.348,299.9
08/06/2023 00:01:16.357,299.9
08/06/2023 00:01:17.381,299.9
08/06/2023 00:01:18.400,299.9
08/06/2023 00:01:19.407,299.9
08/06/2023 00:01:20.418,299.9
08/06/2023 00:01:21.427,299.9
08/06/2023 00:01:22.440,299.9
08/06/2023 00:01:23.452,299.9
08/06/2023 00:01:24.459,299.9
08/06/2023 00:01:25.468,299.9
08/06/2023 00:01:26.480,299.9
08/06/2023 00:01:27.494,299.9
08/06/2023 00:01:28.513,300.0
08/06/2023 00:01:29.531,300.0
08/06/2023 00:01:30.556,300.0
08/06/2023 00:01:31.573,300.0
08/06/2023 00:01:32.580,300.0
08/06/2023 00:01:33.591,300.0
08/06/2023 00:01:34.598,300.0
08/06/2023 00:01:35.606,300.0
08/06/2023 00:01:36.615,300.0
08/06/2023 00:01:37.624,300.0
08/06/2023 00:01:38.643,300.0
08/06/2023 00:01:39.651,300.0
08/06/2023 00:01:40.661,300.0
08/06/2023 00:01:41.677,300.0
08/06/2023 00:01:42.686,300.0
08/06/2023 00:01:43.708,300.0
08/06/2023 00:01:44.733,300.0
08/06/2023 00:01:45.749,300.0
08/06/2023 00:01:46.771,300.0
08/06/2023 00:01:47.791,300.0
08/06/2023 00:01:48.802,300.0
08/06/2023 00:01:49.808,300.0
08/06/2023 00:01:50.827,300.0
08/06/2023 00:01:51.837,300.0
08/06/2023 00:01:52.859,300.0
08/06/2023 00:01:53.871,300.0
08/06/2023 00:01:54.880,300.0
08/06/2023 00:01:55.889,300.0
08/06/2023 00:01:56.898,300.0
08/06/2023 00:01:57.911,300.0
08/06/2023 00:01:58.919,300.0
08/06/2023 00:01:59.927,300.0
08/06/2023 00:02:00.940,300.0
08/06/2023 00:02:01.953,300.1
08/06/2023 00:02:02.964,300.1
08/06/2023 00:02:03.973,300.1
08/06/2023 00:02:04.983,300.0
08/06/2023 00:02:05.991,300.0
08/06/2023 00:02:07.004,300.0
08/06/2023 00:02:08.013,300.0
08/06/2023 00:02:09.022,300.0
08/06/2023 00:02:10.057,300.0
08/06/2023 00:02:11.069,300.0
08/06/2023 00:02:12.079,300.0
08/06/2023 00:02:13.087,300.0
08/06/2023 00:02:14.097,300.0
08/06/2023 00:02:15.119,300.0
08/06/2023 00:02:16.130,300.0
08/06/2023 00:02:17.139,300.0
08/06/2023 00:02:18.150,300.0
08/06/2023 00:02:19.157,300.0
08/06/2023 00:02:20.167,300.0
08/06/2023 00:02:21.188,300.0
08/06/2023 00:02:22.200,300.0
08/06/2023 00:02:23.220,300.0
08/06/2023 00:02:24.238,300.0
08/06/2023 00:02:25.260,300.0
08/06/2023 00:02:26.268,300.0
08/06/2023 00:02:27.286,300.0
08/06/2023 00:02:28.299,300.0
08/06/2023 00:02:29.321,300.0
08/06/2023 00:02:30.333,300.0
08/06/2023 00:02:31.342,300.0
08/06/2023 00:02:32.350,300.0
08/06/2023 00:02:33.371,300.0
08/06/2023 00:02:34.380,300.0
08/06/2023 00:02:35.392,300.0
08/06/2023 00:02:36.399,300.0
08/06/2023 00:02:37.408,299.9
08/06/2023 00:02:38.413,300.0
08/06/2023 00:02:39.425,300.0
08/06/2023 00:02:40.434,300.0
08/06/2023 00:02:41.459,300.0
08/06/2023 00:02:42.481,300.0
08/06/2023 00:02:43.501,300.0
08/06/2023 00:02:44.509,300.0
08/06/2023 00:02:45.516,300.0
08/06/2023 00:02:46.534,300.0
08/06/2023 00:02:47.556,300.0
08/06/2023 00:02:48.565,300.0
08/06/2023 00:02:49.575,300.0
08/06/2023 00:02:50.581,300.0
08/06/2023 00:02:51.593,300.0
08/06/2023 00:02:52.605,300.0
08/06/2023 00:02:53.630,300.0
08/06/2023 00:02:54.639,300.0
08/06/2023 00:02:55.649,300.0
