'EPIC GeOHL.PID.MV Log File

'Date,GeOHL.PID.MV
08/06/2023 00:00:01.275,400.0
08/06/2023 00:00:02.283,400.0
08/06/2023 00:00:03.290,400.0
08/06/2023 00:00:04.310,400.0
08/06/2023 00:00:05.320,400.0
08/06/2023 00:00:06.328,400.0
08/06/2023 00:00:07.339,400.0
08/06/2023 00:00:08.350,400.0
08/06/2023 00:00:09.369,400.0
08/06/2023 00:00:10.389,400.0
08/06/2023 00:00:11.406,400.0
08/06/2023 00:00:12.434,400.0
08/06/2023 00:00:13.454,400.0
08/06/2023 00:00:14.472,400.0
08/06/2023 00:00:15.492,400.0
08/06/2023 00:00:16.502,400.0
08/06/2023 00:00:17.513,400.0
08/06/2023 00:00:18.550,400.0
08/06/2023 00:00:19.566,400.0
08/06/2023 00:00:20.586,400.0
08/06/2023 00:00:21.604,400.0
08/06/2023 00:00:22.613,400.0
08/06/2023 00:00:23.636,400.0
08/06/2023 00:00:24.666,400.0
08/06/2023 00:00:25.680,400.0
08/06/2023 00:00:26.689,400.0
08/06/2023 00:00:27.697,400.0
08/06/2023 00:00:28.707,400.0
08/06/2023 00:00:29.714,400.0
08/06/2023 00:00:30.726,400.0
08/06/2023 00:00:31.739,400.0
08/06/2023 00:00:32.747,400.0
08/06/2023 00:00:33.758,400.0
08/06/2023 00:00:34.779,400.0
08/06/2023 00:00:35.787,400.0
08/06/2023 00:00:36.807,400.0
08/06/2023 00:00:37.827,400.0
08/06/2023 00:00:38.833,400.0
08/06/2023 00:00:39.841,400.0
08/06/2023 00:00:40.854,400.0
08/06/2023 00:00:41.871,400.0
08/06/2023 00:00:42.891,400.0
08/06/2023 00:00:43.903,400.0
08/06/2023 00:00:44.909,400.0
08/06/2023 00:00:45.930,400.0
08/06/2023 00:00:46.948,400.0
08/06/2023 00:00:47.967,400.0
08/06/2023 00:00:48.981,400.0
08/06/2023 00:00:49.994,400.0
08/06/2023 00:00:51.027,400.0
08/06/2023 00:00:52.043,400.0
08/06/2023 00:00:53.058,400.0
08/06/2023 00:00:54.071,400.0
08/06/2023 00:00:55.083,400.0
08/06/2023 00:00:56.097,400.0
08/06/2023 00:00:57.104,400.0
08/06/2023 00:00:58.112,400.0
08/06/2023 00:00:59.120,400.0
08/06/2023 00:01:00.142,400.0
08/06/2023 00:01:01.156,400.0
08/06/2023 00:01:02.183,400.0
08/06/2023 00:01:03.196,400.0
08/06/2023 00:01:04.207,400.0
08/06/2023 00:01:05.218,400.0
08/06/2023 00:01:06.227,400.0
08/06/2023 00:01:07.237,400.0
08/06/2023 00:01:08.257,400.0
