'EPIC Sub.PID.MV Log File

'Date,Sub.PID.MV
08/06/2023 00:00:01.276,100.0
08/06/2023 00:00:02.284,100.0
08/06/2023 00:00:03.292,100.0
08/06/2023 00:00:04.311,100.0
08/06/2023 00:00:05.321,100.0
08/06/2023 00:00:06.329,100.0
08/06/2023 00:00:07.340,100.0
08/06/2023 00:00:08.352,100.0
08/06/2023 00:00:09.370,100.0
08/06/2023 00:00:10.390,100.0
08/06/2023 00:00:11.411,100.0
08/06/2023 00:00:12.438,100.0
08/06/2023 00:00:13.455,100.0
08/06/2023 00:00:14.473,100.0
08/06/2023 00:00:15.494,100.0
08/06/2023 00:00:16.503,100.0
08/06/2023 00:00:17.515,100.0
08/06/2023 00:00:18.552,100.0
08/06/2023 00:00:19.568,100.0
08/06/2023 00:00:20.587,100.0
08/06/2023 00:00:21.606,100.0
08/06/2023 00:00:22.615,100.0
08/06/2023 00:00:23.637,100.0
08/06/2023 00:00:24.667,100.0
08/06/2023 00:00:25.682,100.0
08/06/2023 00:00:26.691,100.0
08/06/2023 00:00:27.699,100.0
08/06/2023 00:00:28.708,100.0
08/06/2023 00:00:29.716,100.0
08/06/2023 00:00:30.727,100.0
08/06/2023 00:00:31.740,100.0
08/06/2023 00:00:32.749,100.0
08/06/2023 00:00:33.759,100.0
08/06/2023 00:00:34.781,100.0
08/06/2023 00:00:35.788,100.0
08/06/2023 00:00:36.809,100.0
08/06/2023 00:00:37.828,100.0
08/06/2023 00:00:38.834,100.0
08/06/2023 00:00:39.842,100.0
08/06/2023 00:00:40.855,100.0
08/06/2023 00:00:41.872,100.0
08/06/2023 00:00:42.892,100.0
08/06/2023 00:00:43.904,100.0
08/06/2023 00:00:44.910,100.0
08/06/2023 00:00:45.931,100.0
08/06/2023 00:00:46.949,100.0
08/06/2023 00:00:47.968,100.0
08/06/2023 00:00:48.982,100.0
08/06/2023 00:00:49.995,100.0
08/06/2023 00:00:51.028,100.0
08/06/2023 00:00:52.044,100.0
08/06/2023 00:00:53.059,100.0
08/06/2023 00:00:54.073,100.0
08/06/2023 00:00:55.084,100.0
08/06/2023 00:00:56.098,100.0
08/06/2023 00:00:57.105,100.0
08/06/2023 00:00:58.113,100.0
08/06/2023 00:00:59.121,100.0
08/06/2023 00:01:00.143,100.0
08/06/2023 00:01:01.157,100.0
08/06/2023 00:01:02.184,100.0
08/06/2023 00:01:03.198,100.0
08/06/2023 00:01:04.209,100.0
08/06/2023 00:01:05.220,100.0
08/06/2023 00:01:06.230,100.0
08/06/2023 00:01:07.238,100.0
08/06/2023 00:01:08.258,100.0
08/06/2023 00:01:09.275,100.0
08/06/2023 00:01:10.286,100.0
08/06/2023 00:01:11.292,100.0
08/06/2023 00:01:12.303,100.0
08/06/2023 00:01:13.323,100.0
08/06/2023 00:01:14.331,100.0
08/06/2023 00:01:15.350,100.0
08/06/2023 00:01:16.359,100.0
08/06/2023 00:01:17.383,100.0
08/06/2023 00:01:18.401,100.0
08/06/2023 00:01:19.409,100.0
08/06/2023 00:01:20.420,100.0
08/06/2023 00:01:21.429,100.0
08/06/2023 00:01:22.442,100.0
08/06/2023 00:01:23.453,100.0
08/06/2023 00:01:24.460,100.0
08/06/2023 00:01:25.469,100.0
08/06/2023 00:01:26.481,100.0
08/06/2023 00:01:27.496,100.0
08/06/2023 00:01:28.514,100.0
08/06/2023 00:01:29.532,100.0
08/06/2023 00:01:30.557,100.0
08/06/2023 00:01:31.574,100.0
08/06/2023 00:01:32.582,100.0
08/06/2023 00:01:33.592,100.0
08/06/2023 00:01:34.599,100.0
08/06/2023 00:01:35.607,100.0
08/06/2023 00:01:36.617,100.0
08/06/2023 00:01:37.625,100.0
08/06/2023 00:01:38.645,100.0
08/06/2023 00:01:39.652,100.0
08/06/2023 00:01:40.663,100.0
08/06/2023 00:01:41.679,100.0
08/06/2023 00:01:42.687,100.0
08/06/2023 00:01:43.709,100.0
08/06/2023 00:01:44.734,100.0
08/06/2023 00:01:45.750,100.0
08/06/2023 00:01:46.772,100.0
08/06/2023 00:01:47.793,100.0
08/06/2023 00:01:48.803,100.0
08/06/2023 00:01:49.810,100.0
08/06/2023 00:01:50.828,100.0
08/06/2023 00:01:51.838,100.0
08/06/2023 00:01:52.861,100.0
08/06/2023 00:01:53.873,100.0
08/06/2023 00:01:54.881,100.0
08/06/2023 00:01:55.891,100.0
