'EPIC SnO.PID.MV Log File

'Date,SnO.PID.MV
08/06/2023 00:00:01.276,300.0
08/06/2023 00:00:02.284,300.0
08/06/2023 00:00:03.291,300.0
08/06/2023 00:00:04.310,300.0
08/06/2023 00:00:05.321,300.0
08/06/2023 00:00:06.329,300.0
08/06/2023 00:00:07.340,300.0
08/06/2023 00:00:08.351,300.0
08/06/2023 00:00:09.370,300.0
08/06/2023 00:00:10.389,300.0
08/06/2023 00:00:11.410,300.0
08/06/2023 00:00:12.437,300.0
08/06/2023 00:00:13.455,300.0
08/06/2023 00:00:14.473,300.0
08/06/2023 00:00:15.493,300.0
08/06/2023 00:00:16.502,300.0
08/06/2023 00:00:17.514,300.0
08/06/2023 00:00:18.551,300.0
08/06/2023 00:00:19.567,300.0
08/06/2023 00:00:20.587,300.0
08/06/2023 00:00:21.605,300.0
08/06/2023 00:00:22.614,300.0
08/06/2023 00:00:23.637,300.0
08/06/2023 00:00:24.666,300.0
08/06/2023 00:00:25.681,300.0
08/06/2023 00:00:26.690,300.0
08/06/2023 00:00:27.698,300.0
08/06/2023 00:00:28.707,300.0
08/06/2023 00:00:29.715,300.0
08/06/2023 00:00:30.726,300.0
08/06/2023 00:00:31.740,300.0
08/06/2023 00:00:32.748,300.0
08/06/2023 00:00:33.759,300.0
08/06/2023 00:00:34.780,300.0
08/06/2023 00:00:35.788,300.0
08/06/2023 00:00:36.808,300.0
08/06/2023 00:00:37.827,300.0
08/06/2023 00:00:38.833,300.0
08/06/2023 00:00:39.842,300.0
08/06/2023 00:00:40.854,300.0
08/06/2023 00:00:41.871,300.0
08/06/2023 00:00:42.892,300.0
08/06/2023 00:00:43.903,300.0
08/06/2023 00:00:44.909,300.0
08/06/2023 00:00:45.930,300.0
08/06/2023 00:00:46.949,300.0
08/06/2023 00:00:47.968,300.0
08/06/2023 00:00:48.981,300.0
08/06/2023 00:00:49.994,300.0
08/06/2023 00:00:51.027,300.0
08/06/2023 00:00:52.044,300.0
08/06/2023 00:00:53.059,300.0
08/06/2023 00:00:54.072,300.0
08/06/2023 00:00:55.084,300.0
08/06/2023 00:00:56.097,300.0
08/06/2023 00:00:57.105,300.0
08/06/2023 00:00:58.113,300.0
08/06/2023 00:00:59.121,300.0
08/06/2023 00:01:00.142,300.0
08/06/2023 00:01:01.156,300.0
08/06/2023 00:01:02.184,300.0
08/06/2023 00:01:03.197,300.0
08/06/2023 00:01:04.208,300.0
08/06/2023 00:01:05.219,300.0
08/06/2023 00:01:06.229,300.0
08/06/2023 00:01:07.238,300.0
08/06/2023 00:01:08.257,300.0
08/06/2023 00:01:09.275,300.0
08/06/2023 00:01:10.285,300.0
08/06/2023 00:01:11.292,300.0
08/06/2023 00:01:12.302,300.0
08/06/2023 00:01:13.323,300.0
08/06/2023 00:01:14.331,300.0
08/06/2023 00:01:15.349,300.0
08/06/2023 00:01:16.358,300.0
08/06/2023 00:01:17.382,300.0
08/06/2023 00:01:18.401,300.0
08/06/2023 00:01:19.408,300.0
08/06/2023 00:01:20.419,300.0
08/06/2023 00:01:21.428,300.0
08/06/2023 00:01:22.441,300.0
08/06/2023 00:01:23.453,300.0
08/06/2023 00:01:24.460,300.0
08/06/2023 00:01:25.469,300.0
08/06/2023 00:01:26.480,300.0
08/06/2023 00:01:27.495,300.0
08/06/2023 00:01:28.514,300.0
08/06/2023 00:01:29.531,300.0
08/06/2023 00:01:30.557,300.0
08/06/2023 00:01:31.574,300.0
08/06/2023 00:01:32.581,300.0
08/06/2023 00:01:33.592,300.0
08/06/2023 00:01:34.599,300.0
08/06/2023 00:01:35.607,300.0
08/06/2023 00:01:36.616,300.0
08/06/2023 00:01:37.625,300.0
08/06/2023 00:01:38.644,300.0
08/06/2023 00:01:39.652,300.0
08/06/2023 00:01:40.662,300.0
08/06/2023 00:01:41.678,300.0
08/06/2023 00:01:42.687,300.0
08/06/2023 00:01:43.709,300.0
08/06/2023 00:01:44.734,300.0
08/06/2023 00:01:45.750,300.0
08/06/2023 00:01:46.772,300.0
08/06/2023 00:01:47.792,300.0
08/06/2023 00:01:48.802,300.0
08/06/2023 00:01:49.809,300.0
08/06/2023 00:01:50.828,300.0
08/06/2023 00:01:51.838,300.0
08/06/2023 00:01:52.860,300.0
08/06/2023 00:01:53.872,300.0
08/06/2023 00:01:54.881,300.0
08/06/2023 00:01:55.890,300.0
08/06/2023 00:01:56.899,300.0
08/06/2023 00:01:57.912,300.0
08/06/2023 00:01:58.920,300.0
08/06/2023 00:01:59.928,300.0
