'EPIC InHL.PID.MV Log File

'Date,InHL.PID.MV
08/06/2023 00:00:01.275,418.0
08/06/2023 00:00:02.283,418.0
08/06/2023 00:00:03.291,418.0
08/06/2023 00:00:04.310,418.0
08/06/2023 00:00:05.320,418.0
08/06/2023 00:00:06.328,418.0
08/06/2023 00:00:07.339,418.0
08/06/2023 00:00:08.351,418.0
08/06/2023 00:00:09.369,418.0
08/06/2023 00:00:10.389,418.0
08/06/2023 00:00:11.409,418.0
08/06/2023 00:00:12.434,418.0
08/06/2023 00:00:13.454,418.0
08/06/2023 00:00:14.472,418.0
08/06/2023 00:00:15.493,418.0
08/06/2023 00:00:16.502,418.0
08/06/2023 00:00:17.514,418.0
08/06/2023 00:00:18.550,418.0
08/06/2023 00:00:19.566,418.0
08/06/2023 00:00:20.586,418.0
08/06/2023 00:00:21.605,418.0
08/06/2023 00:00:22.614,418.0
08/06/2023 00:00:23.636,418.0
08/06/2023 00:00:24.666,418.0
08/06/2023 00:00:25.681,418.0
08/06/2023 00:00:26.690,418.0
08/06/2023 00:00:27.698,418.0
08/06/2023 00:00:28.707,418.0
08/06/2023 00:00:29.715,418.0
08/06/2023 00:00:30.726,418.0
08/06/2023 00:00:31.739,418.0
08/06/2023 00:00:32.748,418.0
08/06/2023 00:00:33.758,418.0
08/06/2023 00:00:34.780,418.0
08/06/2023 00:00:35.787,418.0
08/06/2023 00:00:36.807,418.0
08/06/2023 00:00:37.827,418.0
08/06/2023 00:00:38.833,418.0
08/06/2023 00:00:39.841,418.0
08/06/2023 00:00:40.854,418.0
08/06/2023 00:00:41.871,418.0
08/06/2023 00:00:42.891,418.0
08/06/2023 00:00:43.903,418.0
08/06/2023 00:00:44.909,418.0
08/06/2023 00:00:45.930,418.0
08/06/2023 00:00:46.948,418.0
08/06/2023 00:00:47.967,418.0
08/06/2023 00:00:48.981,418.0
08/06/2023 00:00:49.994,418.0
08/06/2023 00:00:51.027,418.0
08/06/2023 00:00:52.043,418.0
08/06/2023 00:00:53.058,418.0
08/06/2023 00:00:54.071,418.0
08/06/2023 00:00:55.083,418.0
08/06/2023 00:00:56.097,418.0
08/06/2023 00:00:57.104,418.0
08/06/2023 00:00:58.112,418.0
08/06/2023 00:00:59.120,418.0
08/06/2023 00:01:00.142,418.0
08/06/2023 00:01:01.156,418.0
08/06/2023 00:01:02.183,418.0
08/06/2023 00:01:03.196,418.0
08/06/2023 00:01:04.208,418.0
08/06/2023 00:01:05.218,418.0
08/06/2023 00:01:06.229,418.0
08/06/2023 00:01:07.237,418.0
08/06/2023 00:01:08.257,418.0
08/06/2023 00:01:09.274,418.0
08/06/2023 00:01:10.285,418.0
08/06/2023 00:01:11.291,418.0
08/06/2023 00:01:12.302,418.0
08/06/2023 00:01:13.322,418.0
08/06/2023 00:01:14.330,418.0
08/06/2023 00:01:15.349,418.0
08/06/2023 00:01:16.357,418.0
08/06/2023 00:01:17.382,418.0
08/06/2023 00:01:18.400,418.0
08/06/2023 00:01:19.408,418.0
08/06/2023 00:01:20.419,418.0
08/06/2023 00:01:21.428,418.0
08/06/2023 00:01:22.441,418.0
08/06/2023 00:01:23.452,418.0
08/06/2023 00:01:24.459,418.0
08/06/2023 00:01:25.468,418.0
08/06/2023 00:01:26.480,418.0
08/06/2023 00:01:27.495,418.0
08/06/2023 00:01:28.513,418.0
08/06/2023 00:01:29.531,418.0
08/06/2023 00:01:30.556,418.0
08/06/2023 00:01:31.573,418.0
08/06/2023 00:01:32.581,418.0
08/06/2023 00:01:33.591,418.0
08/06/2023 00:01:34.598,418.0
08/06/2023 00:01:35.606,418.0
08/06/2023 00:01:36.616,418.0
08/06/2023 00:01:37.624,418.0
08/06/2023 00:01:38.644,418.0
08/06/2023 00:01:39.651,418.0
08/06/2023 00:01:40.662,418.0
08/06/2023 00:01:41.678,418.0
08/06/2023 00:01:42.686,418.0
08/06/2023 00:01:43.708,418.0
08/06/2023 00:01:44.733,418.0
08/06/2023 00:01:45.749,418.0
08/06/2023 00:01:46.771,418.0
08/06/2023 00:01:47.792,418.0
08/06/2023 00:01:48.802,418.0
08/06/2023 00:01:49.809,418.0
08/06/2023 00:01:50.827,418.0
08/06/2023 00:01:51.837,418.0
08/06/2023 00:01:52.860,418.0
08/06/2023 00:01:53.872,418.0
08/06/2023 00:01:54.880,418.0
08/06/2023 00:01:55.889,418.0
08/06/2023 00:01:56.898,418.0
08/06/2023 00:01:57.912,418.0
08/06/2023 00:01:58.920,418.0
08/06/2023 00:01:59.927,418.0
08/06/2023 00:02:00.941,418.0
08/06/2023 00:02:01.954,418.0
08/06/2023 00:02:02.965,418.0
08/06/2023 00:02:03.974,418.0
08/06/2023 00:02:04.984,418.0
08/06/2023 00:02:05.992,418.0
08/06/2023 00:02:07.004,418.0
08/06/2023 00:02:08.013,418.0
08/06/2023 00:02:09.023,418.0
08/06/2023 00:02:10.058,418.0
08/06/2023 00:02:11.069,418.0
08/06/2023 00:02:12.080,418.0
08/06/2023 00:02:13.088,418.0
08/06/2023 00:02:14.097,418.0
08/06/2023 00:02:15.122,418.0
08/06/2023 00:02:16.131,418.0
08/06/2023 00:02:17.140,418.0
08/06/2023 00:02:18.150,418.0
08/06/2023 00:02:19.158,418.0
08/06/2023 00:02:20.168,418.0
08/06/2023 00:02:21.189,418.0
08/06/2023 00:02:22.201,418.0
08/06/2023 00:02:23.220,418.0
08/06/2023 00:02:24.239,418.0
08/06/2023 00:02:25.260,418.0
08/06/2023 00:02:26.268,418.0
08/06/2023 00:02:27.287,418.0
08/06/2023 00:02:28.299,418.0
08/06/2023 00:02:29.322,418.0
08/06/2023 00:02:30.333,418.0
08/06/2023 00:02:31.342,418.0
08/06/2023 00:02:32.350,418.0
08/06/2023 00:02:33.371,418.0
08/06/2023 00:02:34.381,418.0
08/06/2023 00:02:35.392,418.0
08/06/2023 00:02:36.400,418.0
08/06/2023 00:02:37.408,418.0
08/06/2023 00:02:38.414,418.0
08/06/2023 00:02:39.426,418.0
08/06/2023 00:02:40.435,418.0
08/06/2023 00:02:41.459,418.0
08/06/2023 00:02:42.481,418.0
08/06/2023 00:02:43.501,418.0
08/06/2023 00:02:44.509,418.0
08/06/2023 00:02:45.516,418.0
08/06/2023 00:02:46.535,418.0
08/06/2023 00:02:47.557,418.0
08/06/2023 00:02:48.566,418.0
08/06/2023 00:02:49.575,418.0
08/06/2023 00:02:50.581,418.0
08/06/2023 00:02:51.594,418.0
08/06/2023 00:02:52.608,418.0
08/06/2023 00:02:53.631,418.0
08/06/2023 00:02:54.640,418.0
08/06/2023 00:02:55.650,418.0
08/06/2023 00:02:56.672,418.0
08/06/2023 00:02:57.682,418.0
08/06/2023 00:02:58.692,418.0
08/06/2023 00:02:59.715,418.0
08/06/2023 00:03:00.722,418.0
08/06/2023 00:03:01.745,418.0
08/06/2023 00:03:02.765,418.0
08/06/2023 00:03:03.775,418.0
08/06/2023 00:03:04.795,418.0
08/06/2023 00:03:05.805,418.0
08/06/2023 00:03:06.817,418.0
08/06/2023 00:03:07.828,418.0
08/06/2023 00:03:08.848,418.0
08/06/2023 00:03:09.872,418.0
08/06/2023 00:03:10.895,418.0
08/06/2023 00:03:11.907,418.0
08/06/2023 00:03:12.924,418.0
08/06/2023 00:03:13.937,418.0
08/06/2023 00:03:14.948,418.0
08/06/2023 00:03:15.970,418.0
08/06/2023 00:03:16.984,418.0
08/06/2023 00:03:18.004,418.0
08/06/2023 00:03:19.021,418.0
08/06/2023 00:03:20.044,418.0
08/06/2023 00:03:21.067,418.0
08/06/2023 00:03:22.082,418.0
08/06/2023 00:03:23.091,418.0
08/06/2023 00:03:24.113,418.0
08/06/2023 00:03:25.125,418.0
08/06/2023 00:03:26.145,418.0
08/06/2023 00:03:27.155,418.0
08/06/2023 00:03:28.174,418.0
08/06/2023 00:03:29.188,418.0
08/06/2023 00:03:30.209,418.0
08/06/2023 00:03:31.221,418.0
08/06/2023 00:03:32.244,418.0
08/06/2023 00:03:33.265,418.0
08/06/2023 00:03:34.277,418.0
08/06/2023 00:03:35.289,418.0
08/06/2023 00:03:36.304,418.0
08/06/2023 00:03:37.316,418.0
