'EPIC GaHL.PID.MV Log File

'Date,GaHL.PID.MV
08/06/2023 00:00:01.275,450.0
08/06/2023 00:00:02.283,450.0
08/06/2023 00:00:03.290,450.0
08/06/2023 00:00:04.309,450.0
08/06/2023 00:00:05.320,450.0
08/06/2023 00:00:06.328,450.0
08/06/2023 00:00:07.339,450.0
08/06/2023 00:00:08.350,450.0
08/06/2023 00:00:09.369,450.0
08/06/2023 00:00:10.388,450.0
08/06/2023 00:00:11.406,450.0
08/06/2023 00:00:12.434,450.0
08/06/2023 00:00:13.453,450.0
08/06/2023 00:00:14.471,450.0
08/06/2023 00:00:15.492,450.0
08/06/2023 00:00:16.501,450.0
08/06/2023 00:00:17.513,450.0
08/06/2023 00:00:18.549,450.0
08/06/2023 00:00:19.566,450.0
08/06/2023 00:00:20.585,450.0
08/06/2023 00:00:21.604,450.0
08/06/2023 00:00:22.613,450.0
08/06/2023 00:00:23.636,450.0
08/06/2023 00:00:24.665,450.0
08/06/2023 00:00:25.680,450.0
08/06/2023 00:00:26.689,450.0
08/06/2023 00:00:27.697,450.0
08/06/2023 00:00:28.706,450.0
08/06/2023 00:00:29.714,450.0
08/06/2023 00:00:30.725,450.0
08/06/2023 00:00:31.738,450.0
08/06/2023 00:00:32.747,450.0
08/06/2023 00:00:33.758,450.0
08/06/2023 00:00:34.779,450.0
08/06/2023 00:00:35.787,450.0
08/06/2023 00:00:36.807,450.0
08/06/2023 00:00:37.826,450.0
08/06/2023 00:00:38.832,450.0
08/06/2023 00:00:39.841,450.0
08/06/2023 00:00:40.853,450.0
08/06/2023 00:00:41.870,450.0
08/06/2023 00:00:42.891,450.0
08/06/2023 00:00:43.902,450.0
08/06/2023 00:00:44.908,450.0
08/06/2023 00:00:45.929,450.0
08/06/2023 00:00:46.947,450.0
08/06/2023 00:00:47.967,450.0
08/06/2023 00:00:48.980,450.0
08/06/2023 00:00:49.993,450.0
08/06/2023 00:00:51.026,450.0
08/06/2023 00:00:52.042,450.0
08/06/2023 00:00:53.058,450.0
08/06/2023 00:00:54.071,450.0
08/06/2023 00:00:55.083,450.0
08/06/2023 00:00:56.096,450.0
08/06/2023 00:00:57.104,450.0
08/06/2023 00:00:58.112,450.0
08/06/2023 00:00:59.119,450.0
08/06/2023 00:01:00.141,450.0
08/06/2023 00:01:01.155,450.0
08/06/2023 00:01:02.183,450.0
08/06/2023 00:01:03.196,450.0
08/06/2023 00:01:04.207,450.0
08/06/2023 00:01:05.218,450.0
08/06/2023 00:01:06.226,450.0
08/06/2023 00:01:07.237,450.0
08/06/2023 00:01:08.256,450.0
08/06/2023 00:01:09.273,450.0
08/06/2023 00:01:10.284,450.0
08/06/2023 00:01:11.290,450.0
08/06/2023 00:01:12.301,450.0
08/06/2023 00:01:13.322,450.0
08/06/2023 00:01:14.330,450.0
08/06/2023 00:01:15.348,450.0
08/06/2023 00:01:16.357,450.0
08/06/2023 00:01:17.381,450.0
08/06/2023 00:01:18.400,450.0
08/06/2023 00:01:19.407,450.0
08/06/2023 00:01:20.418,450.0
08/06/2023 00:01:21.427,450.0
08/06/2023 00:01:22.440,450.0
08/06/2023 00:01:23.452,450.0
08/06/2023 00:01:24.459,450.0
08/06/2023 00:01:25.468,450.0
08/06/2023 00:01:26.479,450.0
08/06/2023 00:01:27.494,450.0
08/06/2023 00:01:28.512,450.0
08/06/2023 00:01:29.530,450.0
08/06/2023 00:01:30.556,450.0
08/06/2023 00:01:31.573,450.0
08/06/2023 00:01:32.580,450.0
08/06/2023 00:01:33.590,450.0
08/06/2023 00:01:34.597,450.0
08/06/2023 00:01:35.605,450.0
08/06/2023 00:01:36.615,450.0
08/06/2023 00:01:37.623,450.0
08/06/2023 00:01:38.643,450.0
08/06/2023 00:01:39.651,450.0
08/06/2023 00:01:40.661,450.0
08/06/2023 00:01:41.677,450.0
08/06/2023 00:01:42.686,450.0
08/06/2023 00:01:43.708,450.0
08/06/2023 00:01:44.733,450.0
08/06/2023 00:01:45.749,450.0
08/06/2023 00:01:46.771,450.0
08/06/2023 00:01:47.791,450.0
08/06/2023 00:01:48.801,450.0
08/06/2023 00:01:49.808,450.0
08/06/2023 00:01:50.827,450.0
08/06/2023 00:01:51.837,450.0
08/06/2023 00:01:52.859,450.0
08/06/2023 00:01:53.871,450.0
08/06/2023 00:01:54.880,450.0
08/06/2023 00:01:55.889,450.0
08/06/2023 00:01:56.898,450.0
08/06/2023 00:01:57.911,450.0
08/06/2023 00:01:58.919,450.0
08/06/2023 00:01:59.927,450.0
08/06/2023 00:02:00.940,450.0
08/06/2023 00:02:01.953,450.0
08/06/2023 00:02:02.964,450.0
08/06/2023 00:02:03.973,450.0
08/06/2023 00:02:04.983,450.0
08/06/2023 00:02:05.991,450.0
08/06/2023 00:02:07.004,450.0
08/06/2023 00:02:08.013,450.0
08/06/2023 00:02:09.022,450.0
08/06/2023 00:02:10.057,450.0
08/06/2023 00:02:11.068,450.0
08/06/2023 00:02:12.079,450.0
08/06/2023 00:02:13.087,450.0
08/06/2023 00:02:14.096,450.0
08/06/2023 00:02:15.119,450.0
08/06/2023 00:02:16.130,450.0
08/06/2023 00:02:17.139,450.0
08/06/2023 00:02:18.150,450.0
08/06/2023 00:02:19.157,450.0
08/06/2023 00:02:20.167,450.0
08/06/2023 00:02:21.188,450.0
08/06/2023 00:02:22.200,450.0
08/06/2023 00:02:23.220,450.0
08/06/2023 00:02:24.238,450.0
08/06/2023 00:02:25.259,450.0
08/06/2023 00:02:26.268,450.0
08/06/2023 00:02:27.286,450.0
08/06/2023 00:02:28.299,450.0
08/06/2023 00:02:29.321,450.0
08/06/2023 00:02:30.333,450.0
08/06/2023 00:02:31.341,450.0
08/06/2023 00:02:32.349,450.0
08/06/2023 00:02:33.371,450.0
08/06/2023 00:02:34.380,450.0
08/06/2023 00:02:35.392,450.0
08/06/2023 00:02:36.399,450.0
08/06/2023 00:02:37.408,450.0
08/06/2023 00:02:38.413,450.0
08/06/2023 00:02:39.425,450.0
08/06/2023 00:02:40.434,450.0
08/06/2023 00:02:41.459,450.0
08/06/2023 00:02:42.481,450.0
08/06/2023 00:02:43.500,450.0
08/06/2023 00:02:44.509,450.0
08/06/2023 00:02:45.516,450.0
08/06/2023 00:02:46.534,450.0
08/06/2023 00:02:47.556,450.0
08/06/2023 00:02:48.565,450.0
08/06/2023 00:02:49.574,450.0
08/06/2023 00:02:50.581,450.0
08/06/2023 00:02:51.592,450.0
08/06/2023 00:02:52.604,450.0
08/06/2023 00:02:53.630,450.0
08/06/2023 00:02:54.639,450.0
08/06/2023 00:02:55.649,450.0
08/06/2023 00:02:56.671,450.0
08/06/2023 00:02:57.681,450.0
08/06/2023 00:02:58.691,450.0
08/06/2023 00:02:59.714,450.0
08/06/2023 00:03:00.721,450.0
08/06/2023 00:03:01.744,450.0
08/06/2023 00:03:02.764,450.0
08/06/2023 00:03:03.774,450.0
08/06/2023 00:03:04.794,450.0
08/06/2023 00:03:05.804,450.0
08/06/2023 00:03:06.816,450.0
08/06/2023 00:03:07.827,450.0
08/06/2023 00:03:08.847,450.0
08/06/2023 00:03:09.871,450.0
08/06/2023 00:03:10.894,450.0
08/06/2023 00:03:11.906,450.0
08/06/2023 00:03:12.923,450.0
08/06/2023 00:03:13.936,450.0
08/06/2023 00:03:14.947,450.0
08/06/2023 00:03:15.969,450.0
08/06/2023 00:03:16.983,450.0
08/06/2023 00:03:18.003,450.0
08/06/2023 00:03:19.020,450.0
08/06/2023 00:03:20.043,450.0
08/06/2023 00:03:21.066,450.0
08/06/2023 00:03:22.081,450.0
08/06/2023 00:03:23.090,450.0
08/06/2023 00:03:24.112,450.0
08/06/2023 00:03:25.124,450.0
08/06/2023 00:03:26.144,450.0
08/06/2023 00:03:27.153,450.0
08/06/2023 00:03:28.173,450.0
08/06/2023 00:03:29.187,450.0
08/06/2023 00:03:30.208,450.0
08/06/2023 00:03:31.220,450.0
08/06/2023 00:03:32.243,450.0
08/06/2023 00:03:33.264,450.0
08/06/2023 00:03:34.276,450.0
08/06/2023 00:03:35.288,450.0
08/06/2023 00:03:36.303,450.0
08/06/2023 00:03:37.315,450.0
08/06/2023 00:03:38.340,450.0
08/06/2023 00:03:39.354,450.0
08/06/2023 00:03:40.383,450.0
08/06/2023 00:03:41.399,450.0
08/06/2023 00:03:42.430,450.0
08/06/2023 00:03:43.454,450.0
08/06/2023 00:03:44.471,450.0
08/06/2023 00:03:45.495,450.0
08/06/2023 00:03:46.517,450.0
